Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D4-3004CHO-WHI,CUBO',Surface - 4.5W LED -120V -3000K -350lm - Chocolate-White,726.00,584.00
D,D4-3004TIM-SLF,CUBO',Surface - 4.5W LED -120V -3000K -350lm - Titanium - Silver Leaf,726.00,584.00
D,D4-3004CHO-GLF,CUBO',Surface - 4.5W LED -120V -3000K -350lm - Chocolate-Gold Leaf,726.00,584.00
D,D4-3005WHI,CUBO',Surface - 10W LED -120V -3000K -700lm - White,668.00,536.00
D,D4-3005GRY-WHI,CUBO',Surface - 10W LED -120V -3000K -700lm - Gray-White,784.00,630.00
D,D4-3005TIM-WHI,CUBO',Surface - 10W LED -120V -3000K -700lm - Titanium - White,784.00,630.00
D,D4-3005CHO-WHI,CUBO',Surface - 10W LED -120V -3000K -700lm - Chocolate-White,784.00,630.00
D,D4-3005TIM-SLF,CUBO',Surface - 10W LED -120V -3000K -700lm - Titanium - Silver Leaf,784.00,630.00
D,D4-3005CHO-GLF,CUBO',Surface - 10W LED -120V -3000K -700lm - Chocolate-Gold Leaf,784.00,630.00
D,D4-3006WHI,CUBO',Surface - 20W LED -120V -3000K -1400lm - White,890.00,716.00
D,D4-3006GRY-WHI,CUBO',Surface - 20W LED -120V -3000K -1400lm - Gray-White,998.00,804.00
D,D4-3006TIM-WHI,CUBO',Surface - 20W LED -120V -3000K -1400lm - Titanium - White,998.00,804.00
D,D4-3006CHO-WHI,CUBO',Surface - 20W LED -120V -3000K -1400lm - Chocolate-White,998.00,804.00
D,D4-3006TIM-SLF,CUBO',Surface - 20W LED -120V -3000K -1400lm - Titanium - Silver Leaf,998.00,804.00
D,D4-3006CHO-GLF,CUBO',Surface - 20W LED -120V -3000K -1400lm - Chocolate-Gold Leaf,998.00,804.00
D,D4-3007WHI,CUBO',Surface - 15W LED -120V -3000K -1050lm - White,794.00,640.00
D,D4-3007GRY-WHI,CUBO',Surface - 15W LED -120V -3000K -1050lm - Gray-White,910.00,734.00
D,D4-3007TIM-WHI,CUBO',Surface - 15W LED -120V -3000K -1050lm - Titanium - White,910.00,734.00
D,D4-3007CHO-WHI,CUBO',Surface - 15W LED -120V -3000K -1050lm - Chocolate-White,910.00,734.00
D,D4-3007TIM-SLF,CUBO',Surface - 15W LED -120V -3000K -1050lm - Titanium - Silver Leaf,910.00,734.00
D,D4-3007CHO-GLF,CUBO',Surface - 15W LED -120V -3000K -1050lm - Chocolate-Gold Leaf,910.00,734.00
D,D4-1003WH,DARMA,Suspension - 10W LED -120V -3000K -700lm - White,856.00,690.00
D,D4-1003TIM-WHI,DARMA,Suspension - 10W LED -120V -3000K -700lm - Titanium - White,950.00,764.00
D,D4-1003CHO-WHI,DARMA,Suspension - 10W LED -120V -3000K -700lm - Chocolate-White,950.00,764.00
D,D4-1003BAL-WHI,DARMA,Suspension - 10W LED -120V -3000K -700lm - Brushed Aluminun - White,1012.00,816.00
D,D4-2007WHI,DARMA,Surface - Ceiling - 8.5W LED -120V -3000K -700lm - White,490.00,394.00
D,D4-2007TIM-WHI,DARMA,Surface - Ceiling - 8.5W LED -120V -3000K -700lm - Titanium - White,574.00,462.00
D,D4-2007CHO-WHI,DARMA,Surface - Ceiling - 8.5W LED -120V -3000K -700lm - Chocolate-White,574.00,462.00
D,D4-2007GLF-WHI,DARMA,Surface - Ceiling - 8.5W LED -120V -3000K -700lm - Gold Leaf-White,606.00,490.00
D,D4-2007SLF-WHI,DARMA,Surface - Ceiling - 8.5W LED -120V -3000K -700lm - Silver Leaf-White,606.00,490.00
D,D4-2007ALM,DARMA,Surface - Ceiling - 8.5W LED -120V -3000K -700lm - Brushed Aluminun - White,606.00,490.00
D,D4-2008WHI,DARMA,Surface - Ceiling - 17W LED -120V -3000K -1350lm - White,670.00,540.00
D,D4-2008TIM-WHI,DARMA,Surface - Ceiling - 17W LED -120V -3000K -1350lm - Titanium - White,762.00,614.00
D,D4-2008CHO-WHI,DARMA,Surface - Ceiling - 17W LED -120V -3000K -1350lm - Chocolate-White,762.00,614.00
D,D4-2008GLF-WHI,DARMA,Surface - Ceiling - 17W LED -120V -3000K -1350lm - Gold Leaf-White,792.00,638.00
D,D4-2008SLF-WHI,DARMA,Surface - Ceiling - 17W LED -120V -3000K -1350lm - Silver Leaf-White,792.00,638.00
D,D4-2008ALM,DARMA,Surface - Ceiling - 17W LED -120V -3000K -1350lm - Brushed Aluminun - White,792.00,638.00
D,D4-3008WHI,DARMA,Surface - Wall - 17W LED -120V -3000K -1400lm - White,970.00,780.00
